SARS	 coronaviruses	 Considering the great animal health and economic impact of IBV as well as the recent emergence of novel coronaviruses such as SARS-coronavirus, it is important to investigate the role of wildlife reservoirs in CoV infection biology and epidemiology.	 coronaviruses such as SARS	 causative_agent_of	no
iron deficiency	 iron	 We present data drawn from four different conditions—iron deficiency, congenital hypotransferrinemia, beta-thalassemia, and hereditary hemochromatosis—both in human and non-human models of disease, together suggesting that erythroid iron demand exerts a stronger influence on circulating iron supply than systemic iron stores.	iron deficiency cy, congenital hypotransferrinemia, beta-thalassemia, and hereditary hemochromatosis—both in human and non-human models of disease, together suggesting that erythr iron	 may_prevent	yes
epileptic	 valproic acid	 In 101 adult epileptic patients treated with valproic acid in monotherapy ( n = 75) and polytherapy ( n = 26) the copper availability was evaluated using the specific oxidase activity of ceruloplasmin (activity per unit mass of enzyme protein) and the copper/ceruloplasmin ratio.	epileptic  patients treated with  valproic acid	 may_treat	yes
hypothyroidism	 T3	 Serum T3 and T4 were decreased in 34/78 children with CNS infections, T3 and T4 were much lower than those of healthy adult (p < 0.05), but still higher than that of the primary hypothyroidism (p < 0.05), and TSH levels were not significant differences among children with CNS infections and children with non-CNS infections (p > 0.05).	 T3 and T4 were decreased in 34/78 children with CNS infections, T3 and T4 were much lower than those of healthy adult (p < 0.05), but still higher than that of the primary hypothyroidism	 may_prevent	yes
type 2 diabetes	 pioglitazone	 The purpose of this article is to review the effectiveness and tolerability of pioglitazone in the prevention and management of atherosclerosis in patients with type 2 diabetes.	 pioglitazone in the prevention and management of atherosclerosis in patients with type 2 diabetes	 may_treat	yes
TB	 lipid	 In the current study, we exploited genome-wide microarray analysis to determine that genes for lipid sequestration and metabolism were highly expressed in caseous TB granulomas.	 lipid sequestration and metabolism were highly expressed in caseous TB	 	no_rel
Flush	 niacin	 Flush response to niacin skin patch is more impaired in schizophrenia patients and their relatives from families with higher genetic loading for schizophrenia, and this finding has implications for future genetic dissection of schizophrenia.	Flush  response to  niacin	 induces	no
pain	 propofol	 Aquafol, a microemulsion propofol, causes more severe and frequent pain on injection than propofol.	pain  on injection than  propofol	 may_prevent	yes
Glucagon	 hypoglycemia	 Glucagon levels remained suppressed following a decrease in zinc-free insulin with euglycemia (−14 ± 3 pg/ml [−4.0 ± 0.9 pmol/l]) and during sustained hyperinsulinemia with hypoglycemia (−14 ± 2 pg/ml [−4.0 ± 0.6 pmol/l]) but increased to −3 ± 3 pg/ml (−0.9 ± 0.9 pmol/l) ( P < 0.01) following a decrease in zinc-free insulin with hypoglycemia over the next 120 min.	Glucagon  levels remained suppressed following a decrease in zinc-free insulin with euglycemia (−14 ± 3 pg/ml [−4.0 ± 0.9 pmol/l]) and during sustained hyperinsulinemia with hypoglycemia (−14 ± 2 pg/ml [−4.0 ± 0.6 pmol/l]) but increased to −3 ± 3 pg/ml (−0.9 ± 0.9 pmol/l) ( P < 0.01) following a decrease in zinc- hypoglycemia	 	no_rel
cancer	 adjuvant	 Bevacizumab did not provide additional benefit to chemotherapy in adjuvant chemotherapy for stage II or III colon cancer.	 adjuvant chemotherapy for stage II or III colon cancer	 	no_rel
HBV	 HBIG	 Even though immunoprophylaxis with hepatitis B immunoglobulin (HBIG) and hepatitis B vaccine is administrated to neonates whose mothers are hepatitis B surface antigen (HBsAg) positive, about 10% of the neonates suffer from HBV infection in their early life.	 HBIG  and hepatitis B vaccine is administrated to neonates whose mothers are hepatitis B surface antigen (HBsAg) positive, about 10% of the neonates suffer from HBV	 may_prevent	yes
hypersensitivity	 hypersensitivity	 Montelukast might be effective in chronic urticaria associated with aspirin (ASA) or food additive hypersensitivity or with autoreactivity to intradermal serum injection (ASST) when taken with an antihistamine but not in mild or moderate chronic idiopathic urticaria [urticaria without any possible secondary causes (ie, food additive or ASA and other NSAID hypersensitivity, or ASST)].	hypersensitivity  or with autoreactivity to intradermal serum injection (ASST) when taken with an antihistamine but not in mild or moderate chronic idiopathic urticaria [urticaria without any possible secondary causes (ie, food additive or ASA and other NSAID  hypersensitivity	 cause_of	no
malaria	 chloroquine	 Therefore, the aim of this study was to assess the effectiveness of chloroquine against P. vivax strains in one of the malaria endemic areas of Ethiopia, namely Halaba district, located in South Nations and Nationalities Peoples Region (SNNPR) of South Ethiopia Among 87 malaria patients enrolled in the study, only 80 of them completed the 28-days follow-up.	 chloroquine against P. vivax strains in one of the malaria	 may_prevent	yes
virus	 viruses	 Analysis of the capsid protein of this new leafhopper virus provided significant evidence that it is related to other ssRNA insect viruses within the Family, Dicistroviridae.	virus  provided significant evidence that it is related to other ssRNA insect  viruses	 causative_agent_of	no
type 2 diabetes	 insulin	 To review insulin detemir for clinical use to better manage patients with type 1 and type 2 diabetes.	 insulin detemir for clinical use to better manage patients with type 1 and type 2 diabetes	 may_treat	yes
lipid	 hyperglycemia	 The profound control of AuNPs over the anti oxidant enzymes such as GSH, SOD, Catalase and GPx in diabetic mice to normal, by inhibition of lipid peroxidation and ROS generation during hyperglycemia evidence their anti-oxidant effect during hyperglycemia.	lipid  peroxidation and ROS generation during  hyperglycemia	 	no_rel
AIDS	 HIV	 Deaths were classified as HIV/AIDS-related or not by verbal autopsy.	 HIV AIDS	 causative_agent_of	no
malaria	 lumefantrine	 A fixed-dose combination of artemether-lumefantrine (AL, Coartem®) has shown high efficacy, good tolerability and cost-effectiveness in adults and children with uncomplicated malaria caused by Plasmodium falciparum .	 lumefantrine (AL, Coartem®) has shown high efficacy, good tolerability and cost-effectiveness in adults and children with uncomplicatedmalaria	 may_treat	yes
Tetanus	 Clostridium tetani	 Tetanus is an acute often fatal disease produced by the Gram-positive, obligate anaerobic bacterium Clostridium tetani.	Tetanus  is an acute often fatal disease produced by the Gram-positive, obligate anaerobic bacterium  Clostridium tetani	 causative_agent_of	no
Malaria	 pyrimethamine	 Malaria is the infectious disease causing the highest morbidity and mortality in Angola and due to widespread chloroquine (CQ) resistance, the country has recently changed its first-line treatment recommendations for uncomplicated malaria, from CQ to artemisinin combination therapies (ACT) in adults, and sulphadoxine/pyrimethamine (S/P) in pregnant women.	Malaria  is the infectious disease causing the highest morbidity and mortality in Angola and due to widespread chloroquine (CQ) resistance, the country has recently changed its first-line treatment recommendations for uncomplicated malaria, from CQ to artemisinin combination therapies (ACT) in adults, and sulphadoxine/ pyrimethamine	 may_treat	yes
DR	 Leflunomide	 Leflunomide administration reduced cycling of CD4 T cells (by ex vivo bromodeoxyuridine uptake and Ki67 expression) and decreased expression of activation markers (HLA-DR/CD38 co-expression) on CD8 T cells in peripheral blood.	 Leflunomide administration reduced cycling of CD4 T cells (by ex vivo bromodeoxyuridine uptake and Ki67 expression) and decreased expression of activation markers (HLA-DR	 	no_rel
tuberculosis	 BCG	 We conclude that both tests are accurate to detect latent tuberculosis, although interferon-gamma release assays have higher specificity than tuberculin skin testing in BCG-vaccinated populations, particularly if BCG is received after infancy.	tuberculosis , although interferon-gamma release assays have higher specificity than tuberculin skin testing in BCG-vaccinated populations, particularly if  BCG	 may_prevent	yes
diarrhea	 loperamide	 In castor oil induced diarrhea model, the 80% methanol leaf extract of C. aurea at 100, 200 and 400 mg/kg and the standard drug loperamide (3 mg/kg) significantly reduced the time of onset of diarrhea, the frequency of defecation (total number of faecal output) and weight of faeces.	diarrhea  model, the 80% methanol leaf extract of C. aurea at 100, 200 and 400 mg/kg and the standard drug  loperamide	 may_treat	yes
malaria	 pyrimethamine	 Recent publications put a serious warning regarding the inefficacy of sulphadoxine-pyrimethamine (SP) for the intermittent preventive treatment of malaria in young children (IPTi).	 pyrimethamine (SP) for the intermittent preventive treatment of malaria	 may_prevent	yes
chickenpox	 VZV	 VZV is spread by aerosol to cause chickenpox, which, in temperate countries, is a relatively benign childhood infection; yet in tropical countries it tends to occur at later age, a trend associated with markedly increased severity including complications, hospitalization, and overall burden of care.	 VZV is spread by aerosol to cause chickenpox	 causative_agent_of	no
leukopenia	 vaccines	 Replicon particle vaccines administered in a prime/boost regimen expressing BVDV E2 glycoprotein can induce cross-neutralizing titers, reduce leukopenia post challenge, and mitigate clinical disease in calves.	 vaccines administered in a prime/boost regimen expressing BVDV E2 glycoprotein can induce cross-neutralizing titers, reduce leukopenia	 	no_rel
virus	 viruses	 A proposed new sublineage of EV71, C4a-2, was the predominant virus associated with the Beijing and nationwide HFMD outbreaks since 2008 and amino acid substitution, which possibly link to the central nervous system tropism of EV71, was found in genotype A viruses.	virus  associated with the Beijing and nationwide HFMD outbreaks since 2008 and amino acid substitution, which possibly link to the central nervous system tropism of EV71, was found in genotype A  viruses	 causative_agent_of	no
